gene	G14-1	G14-2	G14-3	448T-1	448T-2	448T-3	G179-1	G179-2	G179-3	559T-1	559T-2	559T-3
OTOA	0	0	1	0	0	0	1	2	0	1	2	4
OTOF	0	0	0	4	18	31	0	0	2	0	0	0
OTOG	0	0	0	0	0	0	0	0	0	1	0	0
OTOGL	1	3	5	1	3	5	20	48	84	2	1	6
OTOL1	0	0	0	0	0	0	0	0	0	0	0	0
OTOP1	0	0	0	2	1	1	2	5	4	3	1	6
OTOP2	0	0	0	0	1	0	0	0	0	0	0	0
OTOR	0	0	0	1	0	1	0	0	0	0	0	0
OTOS	0	0	0	0	0	0	0	1	0	1	0	0
OTP	1	1	3	1	2	1	10	14	15	117	90	79
OTUB1	495	694	799	511	627	707	1510	1658	1870	945	647	686
OTUB2	5	24	25	28	29	37	128	156	205	48	35	43
OTUD1	27	39	41	36	68	66	54	79	92	15	25	15
OTUD3	162	239	224	353	473	493	704	566	577	337	243	212
OTUD4	771	1249	1282	499	536	672	2539	2702	2539	742	537	559
OTUD5	457	732	923	784	944	1075	1509	1759	1925	727	525	493
OTUD6A	2	6	2	9	7	5	8	5	11	8	10	2
OTUD6B	164	268	246	216	194	188	854	688	601	242	143	149
OTUD6B-AS1	92	166	169	117	139	138	688	578	590	231	137	143
OTUD7A	0	0	0	6	8	6	1	0	0	14	15	6
OTUD7B	399	563	608	452	466	427	1185	1051	1326	469	310	368
OTULIN	240	368	411	326	323	352	630	644	567	277	186	225
OTX1	21	36	30	29	34	28	61	67	59	172	127	121
OTX2	0	0	1	0	0	0	0	0	0	0	0	0
OTX2-AS1	3	5	8	5	11	10	14	8	13	10	6	4
OVCA2	28	34	58	9	17	24	29	26	45	30	19	22
OVCH1	1	1	1	1	0	1	0	0	0	4	6	9
OVCH1-AS1	0	1	0	1	0	1	0	0	1	0	0	1
OVCH2	0	0	0	0	0	0	1	0	0	1	0	1
OVGP1	2	2	7	24	66	48	20	29	41	35	25	20
OVOL1	0	0	0	0	1	0	1	2	2	0	1	1
OVOL1-AS1	0	0	0	1	0	0	0	0	0	0	0	0
OVOL2	0	0	0	0	0	0	0	0	0	0	0	0
OVOL3	1	0	0	1	0	0	0	0	0	0	0	0
OXA1L	273	415	426	354	340	389	1419	1421	1185	568	380	434
OXCT1	490	620	524	495	324	282	924	771	555	484	322	342
OXCT1-AS1	0	1	2	10	12	3	4	12	15	8	5	2
OXCT2	5	15	13	31	53	49	6	11	11	17	9	7
OXER1	0	0	0	2	1	3	1	0	2	2	1	0
OXGR1	0	0	0	0	0	0	0	2	0	0	0	0
OXLD1	57	86	119	53	50	67	179	178	194	82	50	78
OXNAD1	93	129	141	140	149	174	330	312	294	126	91	72
OXR1	215	322	404	268	396	513	1397	1763	2078	480	382	358
OXSM	48	90	87	67	89	92	282	244	262	78	40	60
OXSR1	1974	3102	2719	659	748	767	3777	3282	2791	719	442	606
OXT	0	0	0	0	0	1	0	0	0	0	0	1
OXTR	44	65	90	126	319	462	263	359	574	42	21	23
P2RX1	1	0	0	0	0	0	0	0	0	0	0	0
P2RX2	0	0	0	1	1	1	0	1	2	0	0	0
P2RX3	0	0	0	1	0	0	0	1	2	1	2	0
P2RX4	55	75	106	91	89	98	269	315	342	109	64	65
P2RX5	2	1	0	0	1	1	2	5	3	0	0	0
P2RX5-TAX1BP3	24	20	29	44	56	54	51	56	53	43	20	36
P2RX6	14	16	20	37	39	54	166	170	278	36	38	37
P2RX6P	0	0	0	0	0	0	0	0	0	0	0	1
P2RX7	43	54	79	154	187	161	347	261	302	152	147	118
P2RY1	19	25	43	245	571	755	150	234	391	46	31	12
P2RY11	3	7	11	9	19	19	13	17	23	9	7	9
P2RY12	0	1	3	3	2	4	7	3	4	1	1	0
P2RY13	1	0	0	0	1	0	0	0	1	0	0	0
P2RY14	1	0	0	0	4	2	0	0	0	0	0	0
P2RY2	5	8	11	6	17	21	143	177	303	16	7	9
P2RY4	0	2	1	5	5	1	6	3	7	2	0	1
P2RY6	1	0	0	1	2	0	23	10	24	3	1	2
P4HA1	177	275	362	428	400	362	1369	1676	1782	396	266	310
P4HA2	250	481	687	75	91	136	1670	1836	1843	238	187	326
P4HA2-AS1	13	12	26	5	6	7	72	90	79	7	7	6
P4HA3	2	0	1	0	0	0	40	36	34	2	3	1
P4HB	4535	6453	8136	2919	3432	3674	15148	16711	19081	4527	3280	4371
P4HTM	277	421	546	593	715	890	654	964	1277	505	367	326
PA2G4	1430	1909	1689	1307	1027	1116	3447	2726	2207	1032	645	698
PA2G4P4	0	2	0	1	2	0	0	6	3	0	0	0
PAAF1	170	249	293	121	139	170	566	620	703	321	210	188
PABPC1	4075	5978	6218	2728	2666	2890	17898	14723	11646	2338	1565	2119
PABPC1L	85	145	150	211	195	241	280	336	430	224	188	157
PABPC1L2A	0	0	0	0	0	0	0	0	0	0	0	0
PABPC1L2B	0	0	0	0	0	0	0	0	0	0	0	0
PABPC1P2	13	17	31	25	44	37	35	36	35	39	28	24
PABPC3	1	3	1	18	11	7	6	6	4	0	1	1
PABPC4	934	1324	1324	1212	1143	1217	2567	2050	1691	751	501	678
PABPC4L	0	0	0	0	0	0	0	0	0	0	1	0
PABPC5	9	12	19	67	60	52	6	11	5	37	20	20
PABPC5-AS1	0	0	0	0	1	0	0	0	0	0	1	0
PABPN1	134	172	187	161	198	216	308	290	363	335	187	230
PABPN1L	0	0	0	0	0	0	0	0	0	0	0	0
PACRG	1	3	1	14	43	54	23	34	32	27	18	21
PACRG-AS1	0	3	0	0	1	0	1	0	1	1	1	1
PACRGL	78	124	116	68	78	84	261	253	258	118	70	81
PACS1	864	1417	1525	677	893	982	2718	2793	2859	1033	752	823
PACS2	433	619	760	521	714	774	1295	1567	2064	1233	940	801
PACSIN1	0	1	3	3	3	2	9	12	17	3	1	2
PACSIN2	406	570	653	650	651	667	2183	1984	1976	938	523	562
PACSIN3	183	244	347	55	71	90	326	302	350	98	74	84
PADI1	12	12	10	6	7	6	17	22	25	0	0	1
PADI2	576	683	1836	22	21	25	60	76	109	25	16	28
PADI3	11	6	18	53	50	42	10	10	6	5	0	4
PADI4	0	2	0	0	0	0	0	0	0	0	0	0
PADI6	0	0	0	0	0	0	0	0	0	0	0	0
PAEP	0	0	0	0	0	0	1	4	2	0	0	0
PAF1	518	732	745	692	749	871	1063	1124	992	694	438	542
PAFAH1B1	1511	2192	2580	1277	1550	1719	6028	6423	6713	2639	1886	1729
PAFAH1B2	930	1488	1561	856	963	1050	3272	3170	2865	1523	971	1092
PAFAH1B3	119	176	159	283	344	330	302	241	212	381	247	278
PAFAH2	133	169	221	173	184	193	436	429	463	179	130	131
PAG1	83	132	156	378	607	574	468	610	647	663	472	291
PAGE1	0	0	0	0	0	0	0	0	0	0	0	0
PAGE2	0	0	0	0	0	0	0	0	1	0	0	0
PAGE2B	0	0	0	0	0	0	0	0	0	0	0	0
PAGE5	0	0	0	0	0	0	0	0	0	0	0	0
PAGR1	312	459	473	340	450	502	997	894	1014	497	332	418
PAH	0	0	0	1	0	1	0	0	0	3	3	3
PAICS	3490	4774	4117	2216	1564	1473	6787	5351	3793	2413	1543	1621
PAIP1	518	801	788	544	615	618	1701	1538	1436	964	640	621
PAIP2	315	431	611	489	601	650	1806	1860	2153	783	509	498
PAIP2B	25	50	57	18	36	29	61	93	103	30	15	9
PAK1	341	464	586	48	48	38	1119	1129	1119	223	151	234
PAK1IP1	153	187	165	109	108	88	578	493	389	141	91	118
PAK2	1305	1945	1964	1435	1690	1635	3506	3303	2686	1504	1059	961
