gene	G14-1	G14-2	G14-3	448T-1	448T-2	448T-3	G179-1	G179-2	G179-3	559T-1	559T-2	559T-3
A1BG	11	21	30	93	111	134	74	75	79	51	41	36
A1BG-AS1	4	11	12	33	57	48	36	41	41	14	12	16
A1CF	1	0	0	2	3	1	1	1	2	2	0	1
A2M	31	32	37	282	1215	1352	262	464	755	14073	11698	8032
A2M-AS1	0	0	1	4	4	1	5	3	2	5	0	3
A2ML1	1	3	7	5	6	11	11	13	14	15	6	4
A2MP1	0	0	0	1	0	0	0	0	0	0	0	0
A3GALT2	0	4	3	5	6	9	0	0	1	1	3	2
A4GALT	19	36	63	3	3	0	76	94	88	0	0	0
A4GNT	0	0	0	1	2	0	1	1	7	1	1	0
AAAS	218	284	313	293	331	356	705	764	840	348	242	251
AACS	383	574	615	450	495	471	710	703	767	258	202	202
AACSP1	1	1	1	0	0	0	2	0	0	1	2	0
AADAC	0	0	0	0	0	1	4	2	3	0	0	0
AADACL2	0	0	0	0	0	0	1	0	0	0	0	0
AADACL2-AS1	0	1	0	1	0	0	0	4	3	0	0	1
AADACL3	0	0	0	0	0	0	1	2	2	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	2	3	4	2	1	2	0	0	0
AADAT	101	142	113	111	128	136	342	241	243	204	128	130
AAED1	67	101	90	75	75	119	316	262	246	50	55	58
AAGAB	260	439	410	312	300	315	1161	1067	885	572	402	434
AAK1	841	1006	1144	1117	1151	1126	2929	2510	2419	905	687	734
AAMDC	42	64	74	35	46	39	106	124	116	94	62	55
AAMP	603	847	977	687	711	823	1696	1830	2139	826	601	621
AANAT	0	4	2	1	0	0	4	0	1	0	0	0
AAR2	184	334	301	349	344	368	726	791	888	362	283	261
AARD	1	1	2	2	2	7	7	3	7	6	6	1
AARS	1225	1851	2343	1536	1913	1840	7577	8376	10294	1477	1032	1004
AARS2	310	421	468	179	196	180	574	511	543	368	258	293
AARSD1	9	9	13	5	7	7	16	28	40	4	10	9
AASDH	82	117	169	120	202	217	507	655	760	197	137	128
AASDHPPT	349	505	517	388	438	411	1424	1449	1452	643	423	458
AASS	776	1113	1183	860	1039	1059	1737	1737	1901	2013	1428	1106
AATF	604	939	779	440	375	451	1106	967	800	344	233	259
AATK	7	7	15	46	32	50	53	68	109	27	19	25
AATK-AS1	1	1	2	1	0	1	1	0	0	0	1	0
ABAT	101	197	306	2041	3239	3666	176	358	626	3188	2496	1510
ABCA1	93	151	229	802	1598	1864	1271	2583	3389	2109	1784	1028
ABCA10	4	8	10	10	21	21	27	34	32	8	10	14
ABCA11P	55	75	83	57	51	44	183	117	176	87	59	52
ABCA12	20	38	40	33	53	42	47	46	54	22	16	13
ABCA13	164	272	585	10	10	21	948	1589	3386	85	87	89
ABCA17P	2	4	7	4	5	6	13	11	22	5	2	5
ABCA2	591	826	1318	3646	5180	7015	2311	4548	8213	2875	2139	1981
ABCA3	1312	1983	2634	1252	1472	1603	1484	1884	2199	1609	1190	878
ABCA4	1	0	1	4	5	2	3	1	4	5	3	3
ABCA5	98	149	197	144	238	307	228	293	307	133	62	33
ABCA6	0	2	0	2	5	2	62	86	158	4	3	4
ABCA7	140	208	362	65	137	202	235	330	625	200	180	152
ABCA8	8	19	21	9	18	30	39	56	111	12	15	24
ABCA9	4	3	7	9	17	21	29	32	47	11	12	12
ABCB1	4	6	4	4	6	4	119	110	92	2	2	0
ABCB10	59	84	102	184	142	175	596	492	459	200	118	161
ABCB11	0	0	0	35	60	87	2	2	9	1	0	1
ABCB4	124	205	257	14	14	12	79	114	130	5	1	3
ABCB5	9	12	24	16	14	27	29	19	24	32	11	16
ABCB6	283	402	430	447	521	632	847	1005	1495	593	381	306
ABCB7	204	340	337	342	392	447	613	564	615	259	155	153
ABCB8	209	337	380	309	387	442	680	636	784	564	395	436
ABCB9	112	107	161	56	55	84	257	247	354	153	115	93
ABCC1	769	1285	1693	272	421	474	3478	4689	6078	646	461	581
ABCC10	189	276	335	155	235	293	422	531	624	321	225	229
ABCC11	1	1	0	3	2	6	0	5	4	1	2	1
ABCC12	0	0	0	2	0	2	0	3	0	0	0	0
ABCC13	1	1	2	1	2	5	1	1	1	3	1	1
ABCC2	7	12	6	12	14	6	36	37	45	2	1	1
ABCC3	522	873	1345	295	629	671	1969	3118	4419	285	217	331
ABCC4	192	285	256	224	140	171	1135	972	1267	201	115	148
ABCC5	176	267	342	386	456	504	608	676	846	435	273	262
ABCC5-AS1	0	0	0	0	1	0	0	0	0	0	0	0
ABCC6	4	7	10	4	2	9	36	53	120	4	9	8
ABCC6P1	1	1	0	3	10	9	4	9	14	1	1	0
ABCC6P2	2	1	4	3	6	1	9	5	14	1	3	0
ABCC8	8	13	13	25	30	74	8	14	24	1	0	0
ABCC9	56	99	106	109	125	148	222	201	203	148	112	93
ABCD1	100	175	260	401	453	570	496	480	606	228	164	212
ABCD2	0	0	0	7	29	23	11	11	18	48	19	30
ABCD3	430	624	699	1148	1312	1205	1912	1871	2208	1330	961	764
ABCD4	244	367	406	180	236	261	722	838	1052	603	467	394
ABCE1	1146	1744	1453	661	498	497	3692	2775	2096	768	567	578
ABCF1	870	1161	1190	644	680	643	2658	2481	2594	1334	859	878
ABCF2	758	1107	1117	756	719	761	2343	2000	1855	999	695	785
ABCF3	440	596	704	481	526	609	1192	1282	1514	483	328	378
ABCG1	1	1	1	56	123	231	0	2	1	11	4	6
ABCG2	9	10	17	5	1	3	63	68	41	27	24	19
ABCG4	3	9	5	2	5	3	21	20	21	9	8	8
ABCG5	0	0	0	0	2	0	0	0	0	0	0	0
ABCG8	0	0	0	0	0	1	0	0	0	1	0	0
ABHD1	1	2	1	4	5	5	18	27	35	3	5	4
ABHD10	101	142	140	307	352	361	698	638	650	390	237	245
ABHD11	229	359	360	211	162	169	633	542	456	174	133	131
ABHD12	383	622	827	685	642	713	1638	1668	1825	739	518	471
ABHD12B	4	2	3	2	0	2	2	7	9	5	3	3
ABHD13	65	108	129	122	165	144	456	420	426	187	142	120
ABHD14A	21	32	44	57	81	80	93	122	139	93	65	48
ABHD14A-ACY1	0	0	0	1	0	1	0	1	0	1	0	0
ABHD14B	117	176	236	120	133	133	684	761	878	146	109	123
ABHD15	166	237	328	67	77	82	368	328	325	186	112	136
ABHD16A	180	251	311	373	390	405	781	935	1142	535	390	364
ABHD16B	29	55	50	23	18	18	78	91	79	47	23	38
ABHD17A	236	370	430	676	766	912	570	666	787	518	333	356
ABHD17B	156	229	253	279	385	406	543	523	530	331	215	219
ABHD17C	54	104	106	113	185	170	129	101	128	355	227	219
ABHD2	1435	1793	1876	1573	1691	1654	3941	3502	3315	5176	3450	3029
ABHD3	125	135	155	157	135	123	284	221	186	163	94	64
ABHD4	179	263	338	341	492	559	1293	1903	2490	1209	905	764
ABHD5	203	290	285	320	323	298	571	483	493	340	211	199
ABHD6	96	146	176	156	198	236	225	246	364	273	203	139
ABHD8	162	187	284	149	203	254	318	352	450	183	140	134
ABI1	178	281	383	446	558	566	843	888	1067	283	217	194
ABI2	1464	2262	2264	2521	2423	2455	4608	4742	4465	3020	2036	1935
ABI3	0	0	0	0	0	0	2	0	1	0	0	0
ABI3BP	41	67	147	6	8	3	1347	1628	1889	0	2	5
ABL1	1306	1953	2213	2298	2260	2486	3130	3129	3195	2087	1559	1502
ABL2	1178	1864	1759	557	671	721	3490	3489	3805	743	561	682
ABLIM1	219	329	342	863	1371	1584	456	439	483	280	244	247
ABLIM2	2	1	2	22	20	28	11	2	4	35	34	28
ABLIM3	0	1	2	1	0	2	187	181	177	16	10	12
ABO	0	0	0	0	0	0	1	0	3	0	0	0
ABR	1208	1884	2432	671	633	740	2391	2412	2454	899	640	714
ABRA	0	0	1	0	2	0	0	1	2	0	0	0
ABRACL	139	209	233	48	45	52	469	422	354	115	73	95
ABT1	111	176	157	105	85	116	416	396	471	172	108	107
ABTB1	22	29	57	24	64	85	144	204	255	72	44	62
ABTB2	121	174	211	145	217	243	252	304	303	268	147	158
AC093375.1	1	0	0	0	0	0	5	0	3	22	18	19
ACAA1	415	598	603	547	736	843	1323	1581	1806	602	427	472
ACAA2	273	388	503	332	294	305	540	605	629	434	269	350
ACACA	1490	2325	2731	1682	1954	1805	5849	5633	5155	3002	2007	1928
ACACB	117	174	172	118	180	169	354	406	516	298	219	196
ACAD10	136	205	283	325	392	441	869	1106	1538	475	354	288
ACAD11	13	20	21	38	78	78	113	104	161	69	36	44
ACAD8	130	206	215	252	284	271	440	534	657	393	277	269
ACAD9	221	268	300	393	312	298	1097	967	931	415	297	298
ACADL	3	0	3	4	0	0	8	7	7	3	5	0
ACADM	211	308	311	547	581	541	1333	1241	1356	480	316	322
ACADS	52	82	159	82	98	112	174	261	308	109	63	50
ACADSB	174	260	257	343	391	402	753	773	770	230	160	162
ACADVL	1170	1565	2202	675	612	853	2666	3352	4241	1780	1255	1299
ACAN	0	0	0	5	22	25	0	0	0	7	3	1
ACAP1	6	4	9	3	4	6	10	12	27	9	5	6
ACAP2	431	585	693	744	934	880	1959	2034	2028	818	517	544
ACAP3	240	365	490	1070	1256	1460	991	1092	1736	1321	926	799
ACAT1	291	408	437	363	379	410	1012	894	873	408	328	321
ACAT2	776	1381	1066	619	627	558	2864	1802	1034	532	341	483
ACBD3	121	174	207	321	367	390	1329	1490	1525	550	404	443
ACBD4	58	118	162	45	63	67	285	450	625	96	54	52
ACBD5	197	304	303	479	591	549	759	829	995	513	347	263
ACBD6	199	286	285	352	374	398	688	675	623	393	262	272
ACBD7	96	136	133	206	208	214	310	220	183	119	93	67
ACCS	13	29	47	56	58	81	44	81	85	71	48	53
ACCSL	0	0	0	0	0	0	0	0	1	0	0	0
ACD	212	289	269	163	164	165	618	554	540	168	80	118
ACE	2	1	3	0	5	2	48	74	120	14	14	6
ACE2	0	3	5	3	1	5	3	6	5	3	4	0
ACER1	0	0	0	0	0	0	0	0	0	0	0	0
ACER2	42	50	70	129	88	86	15	21	23	11	9	12
ACER3	222	340	318	421	445	455	767	763	914	310	213	195
ACHE	36	56	94	32	103	114	86	158	284	194	163	161
ACIN1	867	1151	1254	1392	1429	1449	3582	4069	4540	2278	1616	1618
ACKR1	0	0	0	68	191	251	113	141	131	62	34	25
ACKR2	8	16	10	20	27	27	18	22	24	24	14	10
ACKR3	15	7	18	218	386	420	44	67	70	186	166	94
ACKR4	0	0	5	2	9	7	14	13	18	5	7	3
ACLY	3595	6000	5859	2990	3387	3196	9316	7408	6672	4863	3275	3773
ACMSD	1	0	0	2	0	0	0	2	1	1	0	1
ACN9	56	79	74	98	116	107	266	180	168	118	83	64
ACO1	504	745	880	416	549	631	2011	1927	2062	698	499	575
ACO2	377	525	620	1051	1099	1210	2128	2603	3149	1169	898	839
ACOT1	1	0	3	8	8	5	54	44	44	10	5	6
ACOT11	13	16	17	8	27	24	12	5	9	42	20	19
ACOT12	4	3	6	8	7	8	37	55	31	4	6	2
ACOT13	72	141	183	181	225	201	537	585	630	364	259	229
ACOT2	35	74	75	42	42	65	238	234	302	88	56	81
ACOT4	3	4	4	1	2	1	3	3	3	0	1	1
ACOT6	1	0	2	1	1	0	1	2	1	1	0	1
ACOT7	606	914	872	733	487	600	1484	1119	930	161	125	184
ACOT8	87	112	145	115	133	160	219	266	308	133	119	107
ACOT9	448	642	634	306	360	430	705	574	541	192	124	140
ACOX1	571	917	1033	476	653	663	1975	2065	2486	1327	988	914
ACOX2	48	17	21	25	24	45	107	109	114	31	34	39
ACOX3	167	292	332	164	190	245	397	521	700	275	210	243
ACOXL	0	0	0	1	3	4	2	1	7	3	1	2
ACP1	487	733	677	479	464	438	1863	1572	1556	482	338	352
ACP2	243	367	449	195	221	240	748	802	761	485	359	373
ACP5	0	0	1	3	12	20	6	22	45	5	5	10
ACP6	223	280	330	227	168	216	829	916	1176	212	168	215
ACPP	1	4	6	1	1	3	163	156	87	7	17	47
ACPT	1	0	0	2	3	3	1	1	1	0	1	0
ACR	0	0	0	2	1	1	0	2	0	1	1	0
ACRBP	1	0	0	5	8	1	14	22	38	2	2	3
ACRC	18	22	22	39	42	43	51	50	77	29	22	26
ACRV1	1	4	3	2	4	1	5	4	4	3	5	1
ACSBG1	3	1	6	11	17	15	39	156	352	518	328	259
ACSBG2	1	1	5	8	6	4	4	3	10	3	4	1
ACSF2	57	79	160	69	118	139	437	693	991	91	73	94
ACSF3	120	154	190	145	216	175	374	385	501	217	139	160
ACSL1	501	767	765	193	233	221	909	735	662	135	102	147
ACSL3	1161	2018	2392	2074	1652	1516	8612	6764	4756	1588	1051	1075
ACSL4	976	1541	1696	561	535	490	2339	1961	1760	315	216	340
ACSL5	4	10	6	7	4	12	218	241	280	7	4	8
ACSL6	2	7	10	21	77	74	11	18	31	201	142	90
ACSM1	0	0	0	0	0	0	1	0	1	0	0	0
ACSM2A	0	1	0	2	0	0	0	2	0	0	0	0
ACSM3	0	1	1	0	0	2	10	7	8	2	2	3
ACSM4	0	0	1	0	0	0	0	1	0	0	0	0
ACSM5	0	0	0	0	2	0	0	0	0	2	4	3
ACSS1	261	380	444	527	988	1266	867	1094	1587	527	361	278
ACSS2	243	428	457	557	698	613	1164	1001	1001	318	251	289
ACSS3	191	309	420	8	9	20	604	823	1050	694	462	453
ACTA1	0	1	0	0	2	2	5	3	3	2	0	1
ACTA2	219	341	499	114	127	140	803	1384	1049	142	135	335
ACTB	43139	64647	62806	44847	43954	50039	130171	136499	104504	47857	32401	38627
ACTBL2	2	4	6	0	0	0	1	4	4	0	0	0
ACTC1	1	0	0	0	0	0	1	1	2	0	1	2
ACTG1	28281	42620	45489	17604	19397	21185	96380	100346	88450	17562	12340	15495
ACTG1P4	1	4	3	3	9	12	8	9	9	7	5	8
ACTG2	183	326	409	1	3	4	214	266	136	51	50	164
ACTL10	3	6	5	10	12	7	20	22	22	4	1	2
ACTL6A	599	836	721	516	449	470	1917	1391	1123	401	248	311
ACTL6B	0	0	0	8	8	2	1	1	4	3	2	2
ACTL7A	0	1	0	0	0	1	0	0	0	1	0	0
ACTL7B	0	0	0	0	0	1	0	0	0	0	1	0
ACTL8	1	0	0	0	0	0	0	0	0	0	0	1
ACTN1	3931	5823	6173	1813	1505	1531	11699	10645	8594	1716	1204	2109
ACTN1-AS1	0	0	0	0	0	0	1	0	1	0	0	0
ACTN2	2	4	2	121	126	108	2	2	1	399	343	204
ACTN3	0	1	0	1	2	0	0	0	0	1	0	0
ACTN4	6717	10347	11290	4416	4498	4899	9420	9699	10339	3621	2565	3554
ACTR10	213	320	396	273	315	320	1126	1062	1154	383	289	281
ACTR1A	715	1015	1066	1690	1709	1763	2517	2297	2385	922	669	663
ACTR1B	413	561	720	619	755	922	1101	1342	1665	613	452	482
ACTR2	1872	2944	3172	2668	2683	2776	10193	9236	8617	2919	1941	2289
ACTR3	1612	2410	2378	1891	1817	1759	7231	5892	5063	1728	1178	1575
ACTR3B	70	94	107	134	120	108	207	195	273	126	97	107
ACTR3BP5	0	0	0	0	0	0	0	0	0	0	0	0
ACTR3C	0	0	0	0	1	0	0	2	2	2	0	0
ACTR5	62	88	96	87	130	140	206	205	191	100	56	51
ACTR6	114	173	171	172	190	201	471	454	526	211	172	137
ACTR8	290	424	499	406	475	477	1352	1345	1310	420	274	307
ACTRT1	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT3	0	0	0	1	0	0	0	1	2	2	1	0
ACVR1	118	189	257	55	85	79	487	510	520	281	252	302
ACVR1B	123	155	167	222	254	272	523	549	604	402	291	234
ACVR1C	2	4	4	0	0	0	11	5	5	2	3	2
ACVR2A	121	283	305	116	192	226	894	1121	1372	277	198	181
ACVR2B	143	229	291	215	320	289	404	521	638	356	227	200
ACVR2B-AS1	4	19	22	10	19	20	45	72	61	16	11	9
ACVRL1	2	3	3	4	4	3	8	7	16	3	3	5
ACY1	16	18	21	6	7	13	29	29	43	6	6	7
ACY3	9	4	2	0	0	0	27	18	28	3	3	3
ACYP1	68	96	92	73	58	47	208	228	285	58	35	39
ACYP2	20	31	25	119	135	131	94	102	151	86	63	50
ADA	75	129	178	84	76	80	114	101	96	94	47	35
ADAD1	0	0	0	0	0	0	0	0	0	0	0	0
ADAD2	0	0	0	1	0	1	0	0	1	0	0	0
ADAL	59	75	100	81	88	83	263	229	251	139	91	83
ADAM10	648	937	1113	775	975	1055	2626	2955	3461	1569	1042	1187
ADAM11	12	8	17	15	9	8	28	38	73	98	44	54
ADAM12	466	516	678	1014	1065	1169	2345	2058	1892	1771	1243	1393
ADAM15	591	838	936	632	495	557	1520	1314	1309	558	374	478
ADAM17	400	615	821	655	682	779	2726	3277	4361	1345	980	976
ADAM18	0	0	0	0	0	0	0	0	0	0	0	0
ADAM19	2222	3090	3992	1293	866	877	3960	3935	2570	506	347	636
ADAM1A	12	37	54	52	71	82	101	82	104	47	35	33
ADAM2	0	0	0	0	0	0	0	0	0	0	0	0
ADAM20	0	1	0	0	0	0	1	4	1	3	3	1
ADAM20P1	1	1	1	3	3	7	6	14	21	3	3	3
ADAM21	0	1	1	0	3	2	12	11	14	4	1	2
ADAM21P1	0	0	0	1	0	0	1	0	3	1	1	1
ADAM22	43	62	75	635	725	606	135	194	268	336	196	177
ADAM23	246	414	626	195	302	417	82	101	57	412	250	211
ADAM28	0	3	4	1	2	1	16	23	41	18	16	3
ADAM29	0	0	0	0	0	0	0	0	0	0	0	0
ADAM30	0	0	0	0	0	0	0	0	0	0	0	0
ADAM32	8	11	12	15	54	60	45	59	92	40	27	28
ADAM33	0	1	1	5	20	15	23	37	53	2	4	9
ADAM3A	0	0	0	0	0	0	0	2	1	0	0	0
ADAM5	0	0	0	0	1	0	0	0	0	1	0	0
ADAM7	0	0	0	0	0	0	0	0	0	0	0	0
ADAM8	2	4	7	4	5	9	13	20	38	6	3	6
ADAM9	3817	6398	6797	3082	4177	4524	18978	21132	23278	8143	5247	4666
ADAMDEC1	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS1	0	4	2	0	1	2	254	384	161	327	341	458
ADAMTS10	26	53	91	23	44	54	10	17	24	366	299	322
ADAMTS12	34	60	102	49	55	65	172	208	168	31	33	91
ADAMTS13	9	22	31	52	97	114	308	446	741	130	96	79
ADAMTS14	427	718	1740	173	425	485	423	409	484	224	255	219
ADAMTS15	223	286	413	179	443	543	772	761	936	355	219	233
ADAMTS16	201	255	360	1	3	2	64	50	47	1	1	3
ADAMTS17	7	6	7	12	9	12	11	13	11	12	5	4
ADAMTS18	0	0	1	0	1	0	3	5	5	0	2	4
ADAMTS19	0	0	0	4	3	1	7	12	7	5	8	10
ADAMTS2	1	1	3	5	3	4	4	4	5	4	7	4
ADAMTS20	0	0	1	3	0	0	5	3	2	0	0	1
ADAMTS3	14	21	11	733	546	398	31	31	30	488	191	126
ADAMTS4	5	22	16	690	476	398	369	335	330	128	108	117
ADAMTS5	0	0	0	1	1	0	0	0	0	21	18	16
ADAMTS6	323	740	727	55	83	119	227	171	230	82	46	36
ADAMTS7	68	79	138	7	12	15	117	108	111	192	154	151
ADAMTS7P1	0	0	0	0	0	0	0	0	0	3	5	6
ADAMTS8	0	0	2	0	6	5	7	1	0	0	1	2
ADAMTS9	359	633	648	1890	1624	1621	1505	2653	2788	545	448	521
ADAMTS9-AS2	2	3	7	7	13	12	19	19	35	5	1	3
ADAMTSL1	170	243	455	42	86	179	3041	4246	5826	308	260	298
ADAMTSL2	6	7	10	12	17	22	46	28	22	17	12	7
ADAMTSL3	2	7	6	0	1	0	0	1	0	0	1	1
ADAMTSL4	1	8	12	39	55	77	48	95	158	76	52	50
ADAMTSL4-AS1	4	3	4	9	16	8	9	4	12	7	5	9
ADAMTSL5	10	26	26	7	7	10	51	69	104	11	6	3
ADAP1	3	6	8	8	6	15	7	17	27	5	5	7
ADAP2	4	7	7	5	10	4	14	19	28	6	5	4
ADAR	1747	2542	2949	3310	4078	4207	6672	7528	8418	5006	3528	3400
ADARB1	719	1468	1843	83	76	150	398	454	559	90	55	67
ADARB2	1	2	0	4	6	5	4	2	10	8	4	3
ADARB2-AS1	0	0	0	0	0	0	0	0	0	0	0	0
ADAT1	204	300	343	229	237	262	856	740	661	193	143	125
ADAT2	65	55	76	87	71	85	194	146	171	107	63	70
ADAT3	38	51	60	61	63	64	57	66	72	39	20	34
ADC	5	12	12	12	47	61	46	87	152	65	36	46
ADCK1	52	63	75	59	75	67	123	165	153	133	86	82
ADCK2	256	401	495	170	225	189	622	618	669	230	157	150
ADCK3	11	23	21	63	124	153	177	261	407	197	153	140
ADCK4	147	186	255	457	550	747	426	452	630	534	403	327
ADCK5	42	50	73	31	61	55	117	147	183	68	51	37
ADCY1	252	355	531	768	584	433	973	1028	1152	276	158	181
ADCY10	0	1	0	5	10	7	5	1	4	1	2	3
ADCY10P1	6	2	5	53	58	65	37	61	100	42	43	21
ADCY2	33	56	72	27	66	107	5	4	8	79	84	51
ADCY3	407	615	662	327	278	338	699	682	656	316	236	242
ADCY4	0	0	1	0	0	0	1	1	1	0	0	0
ADCY5	2	6	3	35	69	60	11	27	39	136	84	95
ADCY6	437	628	794	669	851	954	1254	1553	1934	1410	1054	1086
ADCY7	402	650	737	61	77	80	246	299	369	67	40	34
ADCY8	0	0	0	0	0	0	332	388	382	134	95	78
ADCY9	396	580	819	741	997	1049	634	755	935	509	362	439
ADCYAP1	0	0	0	0	0	0	0	0	0	0	0	0
ADCYAP1R1	4	1	1	533	1310	1182	0	0	2	7737	4821	2159
ADD1	1891	2717	3170	1779	2138	2282	5949	6417	6845	3547	2477	2353
ADD2	427	525	457	350	471	372	1064	821	678	439	268	241
ADD3	194	307	373	490	843	872	1548	1985	2684	997	751	538
ADD3-AS1	0	0	1	1	1	0	0	3	5	3	3	0
ADGB	0	0	0	0	1	0	0	2	0	0	0	0
ADH1A	0	0	0	0	0	0	3	2	1	1	0	0
ADH1B	0	0	0	0	0	0	2	0	0	2	0	0
ADH1C	0	1	0	0	0	0	8	2	5	0	0	0
ADH4	0	2	0	1	0	2	4	2	3	0	0	2
ADH5	977	1629	1683	711	863	808	2847	2834	2888	1354	977	965
ADH6	0	1	0	0	2	5	12	9	7	1	3	3
ADH7	0	0	0	0	0	0	0	0	0	0	0	0
ADHFE1	1	2	4	15	66	81	29	81	149	26	10	5
ADI1	411	575	653	330	292	375	1313	1251	1191	353	272	314
ADIG	0	0	0	0	0	0	0	0	0	0	0	0
ADIPOQ	4	8	6	14	21	17	15	19	20	17	9	8
ADIPOQ-AS1	0	0	0	2	2	1	4	6	4	0	2	1
ADIPOR1	523	773	832	739	711	720	1492	1420	1595	758	490	459
ADIPOR2	706	1054	1057	618	678	778	3258	3181	3101	717	540	522
ADIRF	0	0	1	16	31	40	9	9	6	1	1	5
ADK	168	285	258	265	312	289	541	482	489	232	172	148
ADM	104	149	114	178	65	59	298	336	321	20	13	36
ADM2	10	18	22	22	25	25	142	159	176	27	14	19
ADM5	5	9	15	21	9	29	11	17	15	18	6	6
ADNP	765	1264	1349	1497	1685	1720	3518	3262	3426	1635	1232	1129
ADNP2	381	567	557	560	449	464	1042	879	865	440	288	297
ADO	238	359	385	846	831	876	1082	1001	1031	341	260	277
ADORA1	56	58	131	402	678	646	379	398	473	361	308	299
ADORA2A	0	0	0	0	4	1	3	4	2	2	2	3
ADORA2A-AS1	2	2	1	4	3	13	10	7	25	7	10	6
ADORA2B	524	732	861	36	57	65	921	716	641	54	34	62
ADORA3	0	0	0	0	1	0	14	14	9	0	0	0
ADPGK	201	299	345	231	207	256	780	837	829	319	262	328
ADPGK-AS1	1	1	2	2	2	0	1	3	4	3	3	4
ADPRH	6	19	13	17	17	20	110	91	78	9	8	4
ADPRHL1	3	3	10	12	9	13	13	9	28	20	10	10
ADPRHL2	252	406	360	256	307	333	588	571	591	233	200	207
ADPRM	26	46	57	15	24	22	54	35	59	34	18	19
ADRA1A	5	14	13	16	21	17	20	19	15	17	13	13
ADRA1B	79	132	151	0	0	2	102	78	64	1	0	3
ADRA1D	55	97	91	9	9	2	89	113	140	14	6	5
ADRA2A	0	0	0	1	1	2	0	0	0	0	0	0
ADRA2B	3	0	3	0	1	0	11	21	29	2	0	3
ADRA2C	0	0	0	0	0	0	0	1	0	1	3	2
ADRB1	3	2	2	11	16	7	0	0	1	1	0	1
ADRB2	1	0	0	0	0	0	3	11	20	0	0	0
ADRB3	0	0	1	0	0	0	0	0	0	0	0	0
ADRBK1	426	535	653	525	503	613	1210	1147	1251	488	366	440
ADRBK2	23	37	40	58	123	113	408	469	535	138	133	117
ADRM1	832	1108	1211	770	771	826	1875	1776	1777	649	433	564
ADSL	290	401	368	360	341	377	1341	1119	916	389	231	290
ADSS	348	581	532	394	378	413	1035	818	737	253	142	187
ADSSL1	5	15	23	15	11	11	73	125	123	31	17	13
ADTRP	0	0	0	0	0	1	2	1	2	1	0	0
AEBP1	461	633	876	288	368	344	1499	1905	2334	4755	3765	3561
AEBP2	309	489	568	212	278	339	627	627	647	364	290	265
AEN	456	679	587	228	107	170	300	217	152	491	330	384
AES	1663	2336	2714	2764	2970	3043	3895	4089	4473	2718	1849	2311
AFAP1	783	1110	1605	981	1036	1067	7147	7390	7469	1219	1000	1197
AFAP1-AS1	6	7	15	5	11	4	54	50	49	11	13	15
AFAP1L1	6	6	9	52	22	13	49	35	31	92	40	30
AFAP1L2	30	34	71	17	47	74	45	57	59	17	35	36
AFF1	578	877	1182	578	680	760	1793	1992	2240	901	690	572
AFF2	0	0	0	144	382	494	1	0	0	2	3	0
AFF3	152	249	250	92	173	182	1131	1210	954	796	809	831
AFF4	1830	2780	3195	1833	2258	2379	5610	5732	5771	3211	2269	2116
AFG3L1P	97	145	148	187	267	259	491	530	664	242	161	153
AFG3L2	636	930	863	828	742	750	1754	1636	1586	661	451	460
AFM	0	0	0	0	0	0	0	0	0	0	0	0
AFMID	101	137	164	69	99	90	238	237	258	97	70	77
AFP	0	0	0	0	0	0	22	9	13	0	0	1
AFTPH	189	259	330	265	328	302	836	814	818	284	187	177
AGA	142	234	245	97	79	94	517	506	528	96	66	56
AGAP1	311	509	587	2171	1735	1819	906	811	830	1200	680	593
AGAP11	0	0	1	10	9	13	5	5	5	3	2	2
AGAP2	14	16	19	102	138	150	29	53	102	856	534	505
AGAP2-AS1	28	43	46	59	59	70	146	129	133	5	1	0
AGAP3	449	585	723	685	848	974	1219	1392	1767	1032	802	757
AGAP4	3	12	10	38	57	50	24	29	35	30	21	23
AGAP5	10	12	14	31	40	51	29	29	49	15	15	11
AGAP6	20	45	39	77	103	110	79	83	130	64	46	54
AGAP7	0	1	0	0	3	4	21	28	42	0	0	0
AGAP9	0	0	0	0	0	3	0	0	1	0	0	0
AGBL1	0	0	0	0	0	0	0	0	0	0	0	0
AGBL1-AS1	0	0	0	0	0	0	0	0	0	0	0	0
AGBL2	4	6	6	4	12	7	58	38	61	7	3	2
AGBL3	1	4	8	15	9	12	24	17	28	24	17	14
AGBL4	0	0	1	12	12	10	2	1	3	2	1	1
AGBL5	278	353	475	404	474	529	1279	1368	1538	671	463	447
AGBL5-AS1	0	0	0	0	2	0	0	1	0	0	0	0
AGER	14	24	29	34	72	84	103	120	173	70	51	34
AGFG1	691	1022	1144	823	898	966	2411	2320	2167	925	700	643
AGFG2	124	159	173	274	329	369	363	520	632	394	311	269
AGGF1	322	502	502	400	465	450	1295	1374	1426	657	434	425
AGK	511	775	802	443	357	447	1470	1226	1229	479	300	304
AGL	298	455	487	258	344	354	1217	1270	1418	541	330	302
AGMAT	15	13	22	56	39	47	61	43	57	37	25	23
AGMO	14	10	13	10	13	7	43	37	28	22	20	13
AGO1	540	829	944	798	847	956	1684	1779	2184	907	626	612
AGO2	394	495	515	314	309	358	741	624	558	322	209	185
AGO3	81	119	136	87	143	161	241	274	309	157	126	117
