sampleName	SMTS	SMTSD	group	NTRK1_ENST00000358660.3	NTRK1_ENST00000368196.3	NTRK1_ENST00000392302.2	NTRK1_ENST00000489021.2	NTRK1_ENST00000497019.2	NTRK1_ENST00000524377.1	NTRK1_ENST00000530298.1	NTRK1_ENST00000531606.1	NTRK1_ENST00000533630.1	NTRK1_ENST00000534682.1	NTRK2_ENST00000277120.3	NTRK2_ENST00000304053.6	NTRK2_ENST00000323115.4	NTRK2_ENST00000359847.3	NTRK2_ENST00000376208.1	NTRK2_ENST00000376213.1	NTRK2_ENST00000376214.1	NTRK2_ENST00000395866.2	NTRK2_ENST00000395882.1	NTRK3_ENST00000317501.3	NTRK3_ENST00000355254.2	NTRK3_ENST00000357724.2	NTRK3_ENST00000360948.2	NTRK3_ENST00000394480.2	NTRK3_ENST00000537300.2	NTRK3_ENST00000540489.2	NTRK3_ENST00000542733.2	NTRK3_ENST00000557856.1	NTRK3_ENST00000557897.1	NTRK3_ENST00000558306.1	NTRK3_ENST00000558576.1	NTRK3_ENST00000558676.1	NTRK3_ENST00000559067.1	NTRK3_ENST00000559188.1	NTRK3_ENST00000559680.1	NTRK3_ENST00000559764.2	NTRK3_ENST00000560017.1	NTRK3_ENST00000560201.1	NTRK3_ENST00000560739.1
GTEX-131XH-0011-R4b-SM-5DUWB	GTEX-131XH-0011-R4b-SM-5DUWB	Brain	Brain - Amygdala	Normal2	0	0	0	0	0.22650852980868	0	0	0.0426443374084937	0	0	0	1.88752527074159	0	7.07681559705083	0.918386234446348	1.94485844580754	0	0.16349873228288	4.43496176018725	3.69376571221778	0	0.66902676550963	0	1.71369581484336	2.77820857639809	0	0	0	0	1.72246602447109	0	0.505890929729957	0.575312330687437	0	0	0	0	1.38956681176273	0
GTEX-131YS-0011-R4a-SM-5DUVL	GTEX-131YS-0011-R4a-SM-5DUVL	Brain	Brain - Amygdala	Normal2	0	0	0	0	0	0.263034405833794	0	0	0	0	0	0	0	7.65963918701565	2.21412480535285	0.963474123974886	0.855989697308481	0	3.98732086592925	4.114367024952	0	0.632268215499513	0	1.63226821549951	3.13586316536868	0	0	0	0.545968369105293	0.594548549550354	0	0	0.66902676550963	0	0	0	0	0	0
GTEX-1399T-0011-R4b-SM-5DUVX	GTEX-1399T-0011-R4b-SM-5DUVX	Brain	Brain - Amygdala	Normal2	0	0	0.137503523749935	0	0	0	0	0.22650852980868	0	0.150559676575381	0	0.632268215499513	0	5.66562016406638	0.807354922057604	0.84799690655495	0.475084882948783	0	1.77399632511117	2.84599177066457	0	0.111031312388744	0	0.748461233004036	0	0	0	0	0	0.22650852980868	0	0.321928094887362	0.150559676575381	0	0	0	0	0.53605290024021	0
GTEX-139T8-0011-R4a-SM-5HL54	GTEX-139T8-0011-R4a-SM-5HL54	Brain	Brain - Amygdala	Normal2	0	0	0.0285691521967709	0	0	0	0.214124805352847	0.0426443374084937	0	0	0	0	0	6.06047978140759	1.7311832415722	0.66902676550963	0	0.0426443374084937	1.53605290024021	2.91647664443772	0	0.124328135002202	0	0.704871964456353	1.4541758931858	0	0	0	0.214124805352847	0.37851162325373	0	0.214124805352847	0.27500704749987	0	0	0	0	1.6915341649192	0
GTEX-13CZV-0011-R4b-SM-5J2NY	GTEX-13CZV-0011-R4b-SM-5J2NY	Brain	Brain - Amygdala	Normal2	0	0	0.0976107966264223	0	0	0	0	0.0143552929770701	0	0	0	0	0	5.90134963765088	1.13750352374994	0.516015147003665	0	0.0285691521967709	1.19534759832222	2.97819562968165	0	0.176322772640463	0	0.831877241191673	0	0	0	0	0.150559676575381	0.286881147788162	0	0.0976107966264223	0	0	0	0	0	1.43295940727611	0
GTEX-13FLV-0011-R4a-SM-5LZYU	GTEX-13FLV-0011-R4a-SM-5LZYU	Brain	Brain - Amygdala	Normal2	0	0	0	0	0.263034405833794	0	0	0.214124805352847	0	0	0	0.464668267003444	0	7.77346892790519	2.12763327972587	1.11769504266975	0	0	3.25701061820602	4.02945288578697	0	0.238786859587116	0	0.985500430304885	0	0	0	0	0.298658315564515	0.584962500721156	0.111031312388744	0.0426443374084937	0.333423733725192	0	0	0	0	0	0
GTEX-13JVG-0011-R4a-SM-5MR4C	GTEX-13JVG-0011-R4a-SM-5MR4C	Brain	Brain - Amygdala	Normal2	0	0	0.150559676575381	0	0	0	0.0426443374084937	0	0	0	0	0	0	5.83668159332712	1.25701061820602	0.422233000683048	0	0	2.0703893278914	3.13257684267001	0	0	0	0.823749360308273	0	0	0	0	0.678071905112638	0.765534746362977	0	0.367371065648529	0.150559676575381	0	0	0	0	2.02502879449152	0
GTEX-13N1W-0011-R4a-SM-5MR52	GTEX-13N1W-0011-R4a-SM-5MR52	Brain	Brain - Amygdala	Normal2	0	0	0	0	0.124328135002202	0.070389327891398	0.0565835283663675	0.367371065648529	0	0	0	0	0	6.20593983247088	1.44360665147561	0.722466024471091	0.321928094887362	0	2.32768736417605	3.7279204545632	0	0.16349873228288	0	1.18903382439002	2.81147103052984	0	0	0.526068811667588	0.887525270741587	0.298658315564515	0	0	0.286881147788162	0	0.20163386116965	0	0.650764559116902	2.88362081628567	0.238786859587116
GTEX-13N2G-0011-R4b-SM-5MR54	GTEX-13N2G-0011-R4b-SM-5MR54	Brain	Brain - Amygdala	Normal2	0	0	0	0	0.298658315564515	0	0.0565835283663675	0.238786859587116	0	0	0	0.871843648509318	0	6.79311555527435	1.25096157353322	1.01435529297707	0.790772037862	0.214124805352847	4.23266075679027	4.32048467801769	0	0.27500704749987	0	1.38956681176273	0	0	0	0	0.454175893185802	1.33342373372519	0	0.782408564927373	0.55581615506164	0.214124805352847	0	0	0	0	0
GTEX-13NYS-0011-R4b-SM-5MR3O	GTEX-13NYS-0011-R4b-SM-5MR3O	Brain	Brain - Amygdala	Normal2	0	0.0426443374084937	0.411426245726465	0	0.356143810225275	0.137503523749935	0.150559676575381	0	0	0.111031312388744	0	1.19534759832222	0	7.08321336824898	0.250961573533219	0.7311832415722	0	0	3.27947129564447	4.63923216324928	0	0.704871964456353	0	2.19534759832222	0	0	0.111031312388744	0	0.137503523749935	0.933572638261024	0	0.739848102699327	0.53605290024021	0	0	0	0	2.84197311892718	0.16349873228288
